t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,system_load_mw,thermal_cost_usd
41,4:15-4:30,unordered,1.0,20.0,20.0,25.0,25.0,90.0,140.0,41.85611526899075,0.0,0.0,0.0,230.0,2125.8625
42,4:30-4:45,unordered,1.0,20.0,20.0,25.0,25.0,90.0,138.0,47.49906195726811,0.0,0.0,0.0,228.0,2125.8625
43,4:45-5:00,unordered,1.0,20.0,20.0,25.0,25.0,90.0,135.0,49.92500218416964,0.0,0.0,0.0,225.0,2125.8625
44,5:00-5:15,unordered,1.0,20.0,20.0,25.0,25.0,90.0,135.0,47.40531729810132,0.0,0.0,0.0,225.0,2125.8625
45,5:15-5:30,unordered,1.0,20.0,20.0,25.0,25.0,90.0,132.0,46.03421832225695,0.0,0.0,0.0,222.0,2125.8625
46,5:30-5:45,unordered,1.0,20.0,20.0,25.0,25.0,90.0,132.0,40.068737389835974,0.0,0.0,0.0,222.0,2125.8625
47,5:45-6:00,unordered,1.0,20.0,20.0,25.0,25.0,90.0,126.00000000000003,38.11324686247201,0.0,0.0,0.0,216.00000000000003,2125.8625
48,6:00-6:15,unordered,1.0,20.0,20.0,25.0,25.0,90.0,125.0,10.310555925600568,0.0,0.0,0.0,215.0,2125.8625
49,6:15-6:30,unordered,1.0,20.0,20.0,25.0,25.0,90.0,125.0,16.39644518012514,0.0,0.0,0.0,215.0,2125.8625
50,6:30-6:45,unordered,1.0,20.0,20.0,25.0,25.0,90.0,126.00000000000003,20.255051018777266,0.0,0.0,0.0,216.00000000000003,2125.8625
51,6:45-7:00,unordered,1.0,20.0,20.0,25.0,25.0,90.0,132.0,5.6396874496336125,0.0,0.0,0.0,222.0,2125.8625
52,7:00-7:15,unordered,1.0,20.82023729743342,20.0,25.0,25.0,90.82023729743342,134.1797627025666,0.0,0.0,0.0,0.0,225.0,2130.013036696748
53,7:15-7:30,unordered,1.0,24.84564642291071,20.0,25.0,25.0,94.8456464229107,135.1543535770893,0.0,0.0,0.0,0.0,230.0,2150.4456677239523
54,7:30-7:45,unordered,1.0,27.863079664771476,20.0,25.0,27.863079664771544,100.72615932954302,134.273840670457,0.0,0.0,0.0,0.0,235.0,2180.4306829509583
55,7:45-8:00,unordered,1.0,28.78309082394593,20.0,25.0,28.78309082394594,102.56618164789187,133.43381835210812,0.0,0.0,0.0,0.0,236.0,2189.8361411329543
